8.958091718760711197e-01 8.107501325010144644e-01 5.293155817814702013e-01 2.443065350128817981e-01 3.605193980713053969e-01 9.219566831104067939e-01 3.493185206858466785e-01 6.819009728927832859e-01 6.260589640566039948e-01 6.900668088536594524e-01
9.848182342840493542e-01 8.509121031887271203e-01 3.215604164965146783e-01 2.562575735647961706e-01 8.602251201912367584e-01 1.240310290716750696e-02 6.002440453913580054e-01 1.190849902816543127e-01 7.019201621094898202e-01 8.098137774089444463e-01
9.460161802950592946e-01 6.840775866584016818e-01 7.207557472046162150e-01 4.661292492819368860e-02 5.069678535873249903e-01 3.054553907692132420e-01 8.431789783589216380e-01 8.792807967566551586e-02 5.004156437955925574e-01 7.006385230448024526e-01
5.404844741719765366e-01 9.363570960935857501e-01 4.289665535861457712e-01 1.302472459884466138e-01 5.576099714947568842e-01 5.942616985183010181e-01 2.917487078139139323e-01 6.860208742008853111e-01 7.776977476304414161e-01 2.837528348652103016e-01
8.359327923266324234e-01 4.979329447179488000e-01 6.957980149849936069e-01 4.698622511953729486e-01 3.259348436233114876e-01 2.551846385275681195e-01 1.247396175497654802e-01 1.038308243521302021e-02 4.498962029708484245e-01 5.967556654033189245e-01
7.330443233477286213e-01 9.410335491699222121e-01 7.500584685040655453e-01 4.017259225332791006e-01 1.194212383648461939e-01 8.792496618214612480e-01 5.494081990407083671e-01 1.659742195962055078e-01 9.298454942647629284e-01 3.427528475019203658e-01
2.873745944357636306e-01 4.456317281411711351e-01 5.949101987775498035e-01 6.742256345586545851e-01 8.376130914541068950e-01 2.651471680008288256e-02 8.883937856148271806e-02 9.019614844735945880e-02 7.845303796907263649e-01 2.360809506549843562e-01
6.568223599326550310e-02 5.772886606273631704e-01 6.244846566154849121e-02 3.421318096300829392e-02 1.189840674885117577e-01 4.688785025965768183e-01 1.301801068749719459e-02 9.972258987627110605e-01 2.261627093891845908e-01 7.444415811251284820e-01
5.565338846739040779e-01 3.048427995777902577e-01 3.345979629047381998e-01 3.684442504766061166e-02 4.687986799506397295e-01 7.618682774854561579e-01 6.881530118622055658e-01 3.480796896418196784e-01 1.363514209899679974e-01 4.829520190347879049e-01
9.092259396756168233e-01 5.407209909187382646e-01 7.988056639950050775e-01 1.805123842912264021e-01 5.812835359663639512e-01 8.776226223453488240e-01 2.155761349675794358e-01 7.602369250819414059e-01 1.956067098604435950e-01 2.801544599623611020e-01
